mass_idx,Mass_g,curve,curve_probability,p_target,K,p_eval,persistence_horizon_years,quasi_extinction_abundance,cap_factor,r_buffer,n_draws,reps,chunk_size,base_seed,posterior_rm_seed,posterior_sigma_seed,demographic_uncertainty,residual_growth_seed,residual_environmental_variation_seed,bird_model_signature,grid_signature,posterior_sampling,posterior_rm_md5,posterior_sigma_md5,simulator_contract
23,94736.3494930254,q025,0.025,0.375,4609,0.36636,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.4,4716,0.39205,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.425,4826,0.41598,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.45,4940,0.44047,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.475,5059,0.4667,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.5,5184,0.49116,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.525,5314,0.5155,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.55,5452,0.54186,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.575,5598,0.56817,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.6,5754,0.5907,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
23,94736.3494930254,q025,0.025,0.625,5922,0.61996,1000,500,1.1,0.8,1500,2500,25,123,7124,8124,coefficients_only,,,not_applicable,"curves=q50:0.500000000000000000,q16:0.160000000000000003,q025:0.025000000000000001,q84:0.839999999999999969,q975:0.974999999999999978|anchors=0.025000000000000001,0.160000000000000003,0.500000000000000000,0.839999999999999969,0.974999999999999978|targets=0.025000000000000001,0.050000000000000003,0.075000000000000011,0.100000000000000006,0.125000000000000000,0.149999999999999994,0.175000000000000017,0.200000000000000011,0.225000000000000006,0.250000000000000000,0.275000000000000022,0.300000000000000044,0.325000000000000067,0.350000000000000033,0.375000000000000056,0.400000000000000022,0.425000000000000044,0.450000000000000067,0.475000000000000033,0.500000000000000000,0.525000000000000022,0.550000000000000044,0.575000000000000067,0.600000000000000089,0.625000000000000111,0.650000000000000022,0.675000000000000044,0.700000000000000067,0.725000000000000089,0.750000000000000111,0.775000000000000022,0.800000000000000044,0.825000000000000067,0.850000000000000089,0.875000000000000111,0.900000000000000022,0.925000000000000044,0.950000000000000067,0.974999999999999978,0.989999999999999991|start_k=512|rel_tol=0.01|rounding=round|max_k=10000000000000",independent_without_replacement,7f15a73e4fba500707cfd6a327d66e27,e3684a6760d26b9cb87931c59250d27d,initial-threshold-v4-validated-quantiles
